"	",,,User_Transaction_Report,,,,,,,,,
"	Selection Criteria :",,,,,,,,,,,,
From Date :Oct 28  2024,,,,,,,,,,,,
To Date :Oct 28  2024,,,,,,,,,,,,
S. No.,Transaction ID,Sender Msisdn,Transaction Amount,Transaction Date and Time,Transaction Type,Receiver Msisdn,Service Name,Transaction Status,Reference Number,Previous Balance,Post Balance,external_transaction_id
1,MP241028.2359.H54093,987789440,0,28-Oct-24,MR,998431577,Merchant Payment,Transaction Failed,WSB Deposit,-419568867.6,-419568867.6,COLL_0C6VKRG45M_WS1H-YB1B-PV1Q-7XLX
2,MP241028.2359.H54093,IND03,0,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Failed,WSB Deposit,-419568867.6,-419568867.6,COLL_0C6VKRG45M_WS1H-YB1B-PV1Q-7XLX
3,MP241028.2359.H54093,INDTAX02,0,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Failed,WSB Deposit,-419568867.6,-419568867.6,COLL_0C6VKRG45M_WS1H-YB1B-PV1Q-7XLX
4,MP241028.2359.H54088,INDTAX02,0.66,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,997721405,-1377877658,-1377877463,
5,MP241028.2359.H54088,997721405,200,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,997721405,-1377877658,-1377877463,
6,MP241028.2359.H54088,IND03,4,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,997721405,-1377877658,-1377877463,
7,MP241028.2359.H54036,IND03,14,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,82690738.73,82691422.42,COLL_0C6VKRG45M_83J7-47L5-Z7EN-RJ0U
8,MP241028.2359.H54036,INDTAX02,2.31,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,82690738.73,82691422.42,COLL_0C6VKRG45M_83J7-47L5-Z7EN-RJ0U
9,MP241028.2359.H54036,999378621,700,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,82690738.73,82691422.42,COLL_0C6VKRG45M_83J7-47L5-Z7EN-RJ0U
10,MP241028.2358.H54013,INDTAX02,3.3,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,81738651.8,81739628.5,COLL_0C6VKRG45M_JKO8-4POI-NHF1-5AJS
11,MP241028.2358.H54013,IND03,20,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,81738651.8,81739628.5,COLL_0C6VKRG45M_JKO8-4POI-NHF1-5AJS
12,MP241028.2358.H54013,997675769,1000,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,81738651.8,81739628.5,COLL_0C6VKRG45M_JKO8-4POI-NHF1-5AJS
13,MP241028.2358.H54010,980882843,300,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,83124736.64,83125029.65,COLL_0C6VKRG45M_ELER-ZUMA-ATUY-CV59
14,MP241028.2358.H54010,IND03,6,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,83124736.64,83125029.65,COLL_0C6VKRG45M_ELER-ZUMA-ATUY-CV59
15,MP241028.2358.H54010,INDTAX02,0.99,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,83124736.64,83125029.65,COLL_0C6VKRG45M_ELER-ZUMA-ATUY-CV59
16,MP241028.2358.H53989,991591921,300,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,82614796.87,82615089.88,COLL_0C6VKRG45M_AG5U-KUFD-H6DH-UT3J
17,MP241028.2358.H53989,IND03,6,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,82614796.87,82615089.88,COLL_0C6VKRG45M_AG5U-KUFD-H6DH-UT3J
18,MP241028.2358.H53989,INDTAX02,0.99,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,82614796.87,82615089.88,COLL_0C6VKRG45M_AG5U-KUFD-H6DH-UT3J
19,MP241028.2358.H53950,IND03,60,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,82825258.56,82828188.66,COLL_0C6VKRG45M_V9TZ-TAF4-10DJ-DS8V
20,MP241028.2358.H53950,985965468,3000,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,82825258.56,82828188.66,COLL_0C6VKRG45M_V9TZ-TAF4-10DJ-DS8V
21,MP241028.2358.H53950,INDTAX02,9.9,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,82825258.56,82828188.66,COLL_0C6VKRG45M_V9TZ-TAF4-10DJ-DS8V
22,MP241028.2357.H53889,992939599,100,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,81422883.2,81422980.87,COLL_0C6VKRG45M_YI0O-ZAV7-VWCX-O25W
23,MP241028.2357.H53889,INDTAX02,0.33,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,81422883.2,81422980.87,COLL_0C6VKRG45M_YI0O-ZAV7-VWCX-O25W
24,MP241028.2357.H53889,IND03,2,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,81422883.2,81422980.87,COLL_0C6VKRG45M_YI0O-ZAV7-VWCX-O25W
25,MP241028.2356.H53819,995835947,100,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,86071517.37,86071615.04,COLL_0C6VKRG45M_P35B-VLI6-JNMM-Q419
26,MP241028.2356.H53819,INDTAX02,0.33,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,86071517.37,86071615.04,COLL_0C6VKRG45M_P35B-VLI6-JNMM-Q419
27,MP241028.2356.H53819,IND03,2,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,86071517.37,86071615.04,COLL_0C6VKRG45M_P35B-VLI6-JNMM-Q419
28,MP241028.2356.H53797,INDTAX02,1.65,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,81056064.54,81056552.89,COLL_0C6VKRG45M_T7AV-0D05-T0AS-TNQW
29,MP241028.2356.H53797,IND03,10,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,81056064.54,81056552.89,COLL_0C6VKRG45M_T7AV-0D05-T0AS-TNQW
30,MP241028.2356.H53797,993452326,500,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,81056064.54,81056552.89,COLL_0C6VKRG45M_T7AV-0D05-T0AS-TNQW
31,MP241028.2356.H53776,995416374,300,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,83937332.36,83937625.37,COLL_0C6VKRG45M_CP5A-W9A5-MQBX-VSFC
32,MP241028.2356.H53776,INDTAX02,0.99,28-Oct-24,SCP_TP,998431577,Merchant Payment,Transaction Success,WSB Deposit,83937332.36,83937625.37,COLL_0C6VKRG45M_CP5A-W9A5-MQBX-VSFC
33,MP241028.2356.H53776,IND03,6,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,83937332.36,83937625.37,COLL_0C6VKRG45M_CP5A-W9A5-MQBX-VSFC
34,MP241028.2356.H53770,995633364,700,28-Oct-24,MR,998431577,Merchant Payment,Transaction Success,WSB Deposit,79545093.9,79545777.59,COLL_0C6VKRG45M_ZK2C-D9EA-T24R-J61E
35,MP241028.2356.H53770,IND03,14,28-Oct-24,SCP,998431577,Merchant Payment,Transaction Success,WSB Deposit,79545093.9,79545777.59,COLL_0C6VKRG45M_ZK2C-D9EA-T24R-J61E
